",""geschlecht"",""geburtsjahr"",""alter_monat"",""alter_jahr"",""schulenr"",""klasse2"",""niveau"",""v16010"",""v17010"",""v17020"",""v17030"",""v18010"",""v18020"",""v18030"",""v18040"",""v18050"",""v18060"",""v18070"",""v19010"",""v19020"",""v19030"",""v19040"",""v19050"",""v19060"",""v19070"",""v20010"",""v20020"",""v20030"",""v20040"",""v24010"",""v24020"",""v24030"",""v24040"",""v24050"",""v25010"",""v25020"",""v25030"",""v25040"",""v26010"",""v26020"",""v26030"",""v27010"",""v27020"",""v27030"",""v27040"",""v30010"",""v30020"",""v30030"",""v30040"",""v30050"",""v30060"",""v30070"",""v31010"",""v32010"",""v33010"",""v34010"",""v35010"",""v36010"",""v37010"",""v38010"",""v39010"",""v40010"",""v40020"",""v40030"",""v40040"",""v40050"",""v41010"",""v44010"",""v44020"",""v44030"",""v16011"",""ort_nr"",""lb_OfficialLehrberuf"",""lb_STAMMLehre"",""lb_SBNLehre"",""voccategories"",""r1numbers"",""r1letters"",""r1letters_correct"",""r1letters_tried"",""r2letters_tried"",""r2letters"",""competition_letters"",""r3letters"",""r3letters_tried"",""r1numbers_tried"",""r2numbers"",""r2numbers_tried"",""competition_numbers"",""r3numbers"",""r3numbers_tried"""
"1,""male"",1998,182,15.1999998092651,12,30,1,0,2,6,0,""WAHR"",""WAHR"",""WAHR"",""FALSCH"",""FALSCH"",""FALSCH"",2,""Putztfrau"",""Ich weiss nicht"",""Sie ist teilzeitbesch<e4>ftigt"",""Chefkoch"",""Berufslehre, Fachmittelschule, Diplommittelschule"",""Er ist vollzeitbesch<e4>ftigt"",0,""Schweiz"",""S<fc>damerikanisches Land"",""S<fc>damerikanisches Land"",0,4.5,5,4.5,4,2,3,2,2,2,2,3,1,1,1,1,1,4,3,2,2,3,5,4,""WAHR"",""WAHR"",""WAHR"",""Berufslehre"","""",""Informatiker/-in"",NA,"""",""eher schon"",2,1,5,3,4,""Sparen"",35,54,""FALSCH"",NA,16,"""",NA,NA,NA,NA,6,6,10,13,7,""WAHR"",7,15,NA,NA,NA,"""",NA,NA"
"2,""female"",1999,169,14.1000003814697,16,42,1,3,2,6,1,""WAHR"",""WAHR"",""WAHR"",""WAHR"",""FALSCH"",""WAHR"",2,""coifeuse"",""Ich weiss nicht"",""Sie ist nicht berufst<e4>tig aber auf Arbeitssuche"",""logistiker"",""Ich weiss nicht"",""Er ist vollzeitbesch<e4>ftigt"",-1,""Anderes Land"",""Anderes Land"",""Anderes Land"",11,4,3,4.5,5.5,1,1,0,3,2,2,2,1,0,2,1,1,2,2,6,4,4,4,4,""FALSCH"",""FALSCH"",""FALSCH"",""Weiss nicht"","""","""",NA,""Zeichner/-in"",""eher schon"",3,4,5,1,2,""Sparen"",44,99,""WAHR"",1,3,""Hauswirtschaftspraktiker EBA"",39202048,61202,1,3,NA,0,NA,NA,NA,"""",NA,NA,4,7,8,""WAHR"",6,6"
"3,""male"",2000,163,13.6000003814697,9,21,1,4,2,6,0,""WAHR"",""WAHR"",""WAHR"",""FALSCH"",""FALSCH"",""FALSCH"",1,""Verk<e4>uferin"",""Ich weiss nicht"",""Sie ist teilzeitbesch<e4>ftigt"",""K<fc>chenbau"",""Ich weiss nicht"",""Er ist vollzeitbesch<e4>ftigt"",0,""Schweiz"",""Schweiz"",""Italien"",0,5.5,5,5.5,5.5,0,3,1,3,3,2,2,2,2,1,1,1,4,3,1,3,2,2,7,""FALSCH"",""FALSCH"",""FALSCH"",""Berufslehre"","""",""Kauffrau/-mann"",NA,"""",""v<f6>llig"",5,4,3,2,1,""Sparen"",70,33,""FALSCH"",0,15,""B<fc>roassistent EBA"",33201283,72101,1,2,NA,0,NA,NA,NA,"""",NA,NA,5,0,3,""FALSCH"",3,3"
"4,""male"",1999,167,13.8999996185303,12,30,2,0,2,6,0,""FALSCH"",""FALSCH"",""WAHR"",""FALSCH"",""WAHR"",""WAHR"",2,""pflegerin"",""Ich weiss nicht"",""Anderes (Hausfrau, pensioniert)"",""koch"",""Ich weiss nicht"",""Er ist teilzeitbesch<e4>ftigt"",-1,""Schweiz"",""Asiatisches Land"",""Asiatisches Land"",0,4.5,5,5,5,1,2,2,2,1,0,2,2,1,1,0,2,2,2,1,1,6,6,7,""FALSCH"",""FALSCH"",""FALSCH"",""Jobben"","""","""",NA,""Informatiker/-in"",""v<f6>llig"",1,3,5,2,4,""Sparen"",23,80,""WAHR"",NA,16,"""",NA,NA,NA,NA,6,6,8,12,9,""FALSCH"",9,13,NA,NA,NA,"""",NA,NA"
"5,""male"",1999,165,13.8000001907349,26,80,1,4,1,6,0,""WAHR"",""FALSCH"",""WAHR"",""FALSCH"",""FALSCH"",""FALSCH"",2,""innenausbauteichnerin"",""Lehrerausbildung"",""Anderes (Hausfrau, pensioniert)"",""Logistiker"",""Lehrerausbildung"",""Er ist teilzeitbesch<e4>ftigt"",0,""Schweiz"",""Schweiz"",""Schweiz"",0,5,5.5,5,5.5,0,2,1,3,1,1,1,0,1,1,0,2,2,1,1,1,2,6,5,""FALSCH"",""WAHR"",""WAHR"",""Berufslehre"","""",""Netzelektriker"",NA,"""",""v<f6>llig"",5,3,1,2,4,""Jobben"",97,40,""WAHR"",NA,25,"""",NA,NA,NA,NA,7,7,11,15,10,""WAHR"",8,16,NA,NA,NA,"""",NA,NA"
"6,""male"",1999,169,14.1000003814697,5,13,2,2,1,7,0,""WAHR"",""WAHR"",""FALSCH"",""WAHR"",""FALSCH"",""FALSCH"",2,""Lehrerin"",""Ich weiss nicht"",""Sie ist teilzeitbesch<e4>ftigt"",""Zimmermann"",""Ich weiss nicht"",""Er ist vollzeitbesch<e4>ftigt"",0,""Schweiz"",""Schweiz"",""Schweiz"",0,4.5,5,5,5,1,3,2,2,3,2,2,2,1,1,0,1,6,4,2,3,2,2,2,""WAHR"",""WAHR"",""WAHR"",""Berufslehre"","""",""Polymechaniker/-in"",NA,"""",""eher schon"",1,2,4,5,3,""Sparen"",80,22,""FALSCH"",NA,6,""Polymechaniker EFZ"",25403032,24403,3,NA,10,10,10,12,10,""WAHR"",13,15,NA,NA,NA,"""",NA,NA"
"7,""female"",2000,163,13.6000003814697,18,51,2,2,2,6,0,""WAHR"",""WAHR"",""FALSCH"",""FALSCH"",""FALSCH"",""FALSCH"",3,""spanisch lehrerin"",""Universit<e4>t oder ETH (Lizentiat, Master, Doktorat)"",""Sie ist teilzeitbesch<e4>ftigt"",""gesch<e4>ftsf<fc>hrer"",""Universit<e4>t oder ETH (Lizentiat, Master, Doktorat)"",""Er ist vollzeitbesch<e4>ftigt"",1,""Schweiz"",""Spanien"",""Schweiz"",0,4.5,5,4.5,5.5,0,2,1,2,1,2,3,0,1,1,1,0,4,3,2,2,5,6,6,""FALSCH"",""WAHR"",""WAHR"",""Gymnasium"","""","""",NA,""Detailhandelsfachfrau/-mann"",""eher schon"",1,4,5,2,3,""Jobben"",88,61,""WAHR"",1,20,"""",NA,NA,NA,4,NA,0,NA,NA,NA,"""",NA,NA,4,3,3,""WAHR"",4,5"
"8,""male"",1999,165,13.8000001907349,17,49,1,4,2,7,0,""WAHR"",""WAHR"",""WAHR"",""WAHR"",""FALSCH"",""FALSCH"",4,""Coifeuse"",""Berufslehre, Fachmittelschule, Diplommittelschule"",""Sie ist teilzeitbesch<e4>ftigt"",""Landwirt"",""Berufslehre, Fachmittelschule, Diplommittelschule"",""Er ist vollzeitbesch<e4>ftigt"",0,""Schweiz"",""Schweiz"",""Schweiz"",0,5,5,5,4.5,0,3,1,3,1,1,1,2,2,3,3,2,3,3,4,4,4,7,3,""FALSCH"",""WAHR"",""WAHR"",""Berufslehre"","""",""Schreiner/-in"",NA,"""",""v<f6>llig"",1,2,3,4,5,""Jobben"",60,20,""FALSCH"",1,19,""Schreiner EFZ"",26105062,26105,3,3,NA,0,NA,NA,NA,"""",NA,NA,5,3,5,""WAHR"",2,5"
"9,""female"",1997,192,16,22,66,2,4,2,7,0,""WAHR"",""WAHR"",""WAHR"",""FALSCH"",""FALSCH"",""FALSCH"",1,""sie arbeitet jetzt als pflegehelferin"",""Gymnasiale Matura, Berufsmatura, Primarlehrerdiplom"",""Sie ist teilzeitbesch<e4>ftigt"",""Er arbeitet als ein Fabrikmitarbeiter in Rubigen Rahmseier"",""Gymnasiale Matura, Berufsmatura, Primarlehrerdiplom"",""Er ist vollzeitbesch<e4>ftigt"",0,""Schweiz"",""Asiatisches Land"",""Asiatisches Land"",0,4,4,4.5,4.5,1,3,2,3,2,2,2,1,1,1,2,1,3,3,4,3,3,6,5,""FALSCH"",""WAHR"",""WAHR"",""Gymnasium"","""","""",NA,""Kauffrau/-mann"",""v<f6>llig"",5,3,2,4,1,""Jobben"",51,47,""WAHR"",0,17,"""",NA,NA,NA,6,NA,0,NA,NA,NA,"""",NA,NA,6,6,7,""FALSCH"",7,7"
"10,""male"",1999,170,14.1000003814697,16,46,2,1,2,7,0,""WAHR"",""WAHR"",""WAHR"",""FALSCH"",""WAHR"",""WAHR"",2,""krankenschwester"",""Ich weiss nicht"",""Sie ist vollzeitbesch<e4>ftigt"",""verkaufsberater"",""Ich weiss nicht"",""Er ist teilzeitbesch<e4>ftigt"",-1,""Schweiz"",""Schweiz"",""Frankreich"",0,4.5,4,5,4,2,2,1,2,0,1,1,1,1,0,0,1,4,2,2,2,2,4,4,""WAHR"",""FALSCH"",""WAHR"",""Weiss nicht"","""","""",NA,""Zeichner/-in"",""eher schon"",1,2,5,4,3,""Sparen"",60,0,""FALSCH"",1,3,"""",NA,NA,NA,5,NA,0,NA,NA,NA,"""",NA,NA,6,6,6,""FALSCH"",7,7"
